Unnamed: 0,Author,Book Name,imagePaths
366,Andrie de Vries,R For Dummies,data/covers/0000367.jpg
367,Michael Alexander,Excel 2016 Power Programming with VBA,data/covers/0000368.jpg
368,Flint Dille,The Ultimate Guide To Video Game Writing And Design,data/covers/0000369.jpg
369,Nicholas Kardaras,Glow Kids,data/covers/0000370.jpg
370,Various,Dark Souls III: Design Works,data/covers/0000371.jpg
371,3dtotal Publishing,Sketching from the Imagination: Dark Arts,data/covers/0000372.jpg
372,John V. Guttag,Introduction to Computation and Programming Using Python,data/covers/0000373.jpg
373,Bethesda Games,The Art Of Dishonored 2,data/covers/0000374.jpg
374,Ginger Gorman,Troll Hunting,data/covers/0000375.jpg
375,Andy Hunt,Pragmatic Thinking and Learning,data/covers/0000376.jpg
376,Kristina Halvorson,Content Strategy for the Web,data/covers/0000377.jpg
377,Bitmap Books,Super Famicom: The Box Art Collection,data/covers/0000378.jpg
378,Kathy Sierra,SCJP Sun Certified Programmer for Java 6 Study Guide,data/covers/0000379.jpg
379,Nicholas Mirzoeff,How to See the World,data/covers/0000380.jpg
380,Bungie,The Art of Destiny,data/covers/0000381.jpg
381,Scott Rogers,Level Up! The Guide to Great Video Game Design,data/covers/0000382.jpg
382,,Pokemon Ultra Sun & Pokemon Ultra Moon: The Official Alola Region Strategy Guide,data/covers/0000383.jpg
383,James Wyatt,The Art of Magic: The Gathering - Ravnica,data/covers/0000384.jpg
384,Veechi Curtis,MYOB Software for Dummies - Australia,data/covers/0000385.jpg
385,Stoyan Stefanov,JavaScript Patterns,data/covers/0000386.jpg
386,David J. Anderson,Kanban,data/covers/0000387.jpg
387,Simon Monk,"Programming Arduino: Getting Started with Sketches, Second Edition",data/covers/0000388.jpg
388,Robert Love,Linux Kernel Development,data/covers/0000389.jpg
389,Peter W. Singer,Cybersecurity and Cyberwar,data/covers/0000390.jpg
390,Nikhil Abraham,Coding For Dummies,data/covers/0000391.jpg
391,John Z. Sonmez,Soft Skills:The software developer's life manual,data/covers/0000392.jpg
392,David Hinde,PRINCE2 Study Guide,data/covers/0000393.jpg
