Unnamed: 0,Author,Book Name,imagePaths
804,Simon Monk,"Programming the Raspberry Pi, Second Edition: Getting Started with Python",data/covers/0000805.jpg
805,Konami,The Art Of Metal Gear Solid V,data/covers/0000806.jpg
806,Karl M. Kapp,The Gamification of Learning and Instruction,data/covers/0000807.jpg
807,Scott Empson,"CCNA Routing and Switching Portable Command Guide (ICND1 100-105, ICND2 200-105, and CCNA 200-125)",data/covers/0000808.jpg
808,Scott Kelby,The Adobe Photoshop CC Book for Digital Photographers (2017 release),data/covers/0000809.jpg
809,Michael J. Crawley,The R Book,data/covers/0000810.jpg
810,Andy McVittie,The Art of Alien Isolation,data/covers/0000811.jpg
811,Dan S. Kennedy,No B.S. Guide to Direct Response Social Media Marketing,data/covers/0000812.jpg
812,Paul Vigna,Cryptocurrency,data/covers/0000813.jpg
813,Jeff LaMarche,Beginning iPhone 3 Development,data/covers/0000814.jpg
814,Daniel J. Barrett,Linux Pocket Guide 3e,data/covers/0000815.jpg
815,Alberto Ferrari,Analyzing Data with Power BI and Power Pivot for Excel,data/covers/0000816.jpg
816,Andy McVittie,"Rise of the Tomb Raider, The Official Art Book",data/covers/0000817.jpg
817,Bill Jelen,Excel 2016 VBA and Macros (includes Content Update Program),data/covers/0000818.jpg
818,David Herman,Effective JavaScript,data/covers/0000819.jpg
819,Prima Games,Super Mario Odyssey,data/covers/0000820.jpg
820,V. Anton Spraul,Think Like A Programmer,data/covers/0000821.jpg
821,Kathy Sierra,Badass - Making Users Awesome,data/covers/0000822.jpg
822,Sandro Mancuso,The Software Craftsman,data/covers/0000823.jpg
823,Graham Hutton,Programming in Haskell,data/covers/0000824.jpg
824,Richard E. Williams,The Animator's Survival Kit,data/covers/0000825.jpg
825,Frank Abagnale,Scam Me If You Can,data/covers/0000826.jpg
826,Stephen G. Kochan,Programming in C,data/covers/0000827.jpg
827,Richard Blum,Linux Command Line and Shell Scripting Bible,data/covers/0000828.jpg
828,Bill Buxton,Sketching User Experiences: Getting the Design Right and the Right Design,data/covers/0000829.jpg
829,David Kadavy,Design for Hackers,data/covers/0000830.jpg
830,Derek Molloy,Exploring Raspberry Pi,data/covers/0000831.jpg
831,saffron barker,Saffron Barker Vs Real Life,data/covers/0000832.jpg
832,Paul Davies,Shadow of the Tomb Raider The Official Art Book,data/covers/0000833.jpg
833,Heath Haskins,The Advanced Roblox Coding Book: An Unofficial Guide,data/covers/0000834.jpg
834,Brock Craft,Arduino Projects For Dummies,data/covers/0000835.jpg
835,John Miller,Unofficial Minecraft Lab for Kids,data/covers/0000836.jpg
836,Bryan O'Sullivan,Real World Haskell,data/covers/0000837.jpg
837,Danah Boyd,It's Complicated,data/covers/0000838.jpg
838,Eliott J Lilly,The Big Bad World of Concept Art for Video Games,data/covers/0000839.jpg
839,Rudolf Steiner,The Electronic Doppelganger,data/covers/0000840.jpg
840,Michael Owen,Shadow of the Tomb Raider,data/covers/0000841.jpg
841,Tom Gardner,The Motley Fool Investment Guide,data/covers/0000842.jpg
842,Michael Dawson,Beginning C++ Through Game Programming,data/covers/0000843.jpg
843,Paul Davies,Marvel's Spider-Man: The Art of the Game,data/covers/0000844.jpg
844,Jay Conrad Levinson,"Guerrilla Marketing for Social Media: 100+ Weapons to Grow Your Online Influence, Attract Customers, and Drive Profits",data/covers/0000845.jpg
845,Richard Wentk,Raspberry Pi For Kids For Dummies,data/covers/0000846.jpg
846,Orin Thomas,Administering Microsoft (R) SQL Server (R) 2012 Databases,data/covers/0000847.jpg
847,Andrew S. Tanenbaum,Modern Operating Systems: Global Edition,data/covers/0000848.jpg
848,Margaret A. Boden,Artificial Intelligence: A Very Short Introduction,data/covers/0000849.jpg
849,Tom Stafford,Mind Hacks,data/covers/0000850.jpg
850,AXELOS,"Portfolio, programme and project offices",data/covers/0000851.jpg
851,Ross Hoddinott,Art of Landscape Photography,data/covers/0000852.jpg
852,Julie Adair King,Canon EOS 60D For Dummies,data/covers/0000853.jpg
853,Natasha Dow Schull,Addiction by Design,data/covers/0000854.jpg
854,Mark Myers,A Smarter Way to Learn JavaScript,data/covers/0000855.jpg
855,Brandon John Larouche,Basic Roblox Lua Programming,data/covers/0000856.jpg
856,Alistair Cockburn,Writing Effective Use Cases,data/covers/0000857.jpg
857,Scott Kelby,The Adobe Photoshop Lightroom Classic CC Book for Digital Photographers,data/covers/0000858.jpg
858,Gunther Verheyen,Scrum,data/covers/0000859.jpg
859,Julie Adair King,Canon EOS Rebel T3i / 600D For Dummies,data/covers/0000860.jpg
860,Christopher Negus,Linux Bible,data/covers/0000861.jpg
861,Chad Mureta,App Empire,data/covers/0000862.jpg
862,Tom Bissell,Extra Lives,data/covers/0000863.jpg
863,Nick Vandome,iPad for Seniors in Easy Steps,data/covers/0000864.jpg
864,Pedro Domingos,The Master Algorithm,data/covers/0000865.jpg
865,Ethem Alpaydin,Machine Learning,data/covers/0000866.jpg
866,Robert Brooks,Diablo Bestiary - The Book of Adria,data/covers/0000867.jpg
867,A. Colin Cameron,Microeconometrics Using Stata,data/covers/0000868.jpg
868,Richard E. Susskind,The End of Lawyers?,data/covers/0000869.jpg
869,Justin Seitz,Gray Hat Python,data/covers/0000870.jpg
870,Garr Reynolds,Presentation Zen Design,data/covers/0000871.jpg
871,John Robison,Surfing Illustrated,data/covers/0000872.jpg
872,Tim Seelig,How to Draw Digital Manga and Anime,data/covers/0000873.jpg
873,Linus Torvalds,Just for Fun,data/covers/0000874.jpg
874,Mark Geddes,Arduino Project Handbook,data/covers/0000875.jpg
875,Jeffrey Richter,CLR via C#,data/covers/0000876.jpg
876,Michael Alexander,Excel Dashboards and Reports,data/covers/0000877.jpg
877,Katherine Ormerod,Why Social Media is Ruining Your Life,data/covers/0000878.jpg
878,Sylvia Langfield,Cambridge International AS and A Level Computer Science Coursebook,data/covers/0000879.jpg
879,Lynn Beighley,Head First SQL,data/covers/0000880.jpg
880,Martin Robinson,The Art of Castlevania - Lords of Shadow,data/covers/0000881.jpg
881,David Ulrich,Zen Camera,data/covers/0000882.jpg
882,Peter Van Der Linden,Expert C Programming,data/covers/0000883.jpg
883,Luke Welling,PHP and MySQL Web Development,data/covers/0000884.jpg
884,Gene Zelazny,Say It With Charts: The Executive's Guide to Visual Communication,data/covers/0000885.jpg
885,Travis Lowdermilk,User-Centered Design,data/covers/0000886.jpg
886,Brendan Gregg,Systems Performance,data/covers/0000887.jpg
887,Nick Morgan,Javascript For Kids,data/covers/0000888.jpg
888,Nintendo,The Legend Of Zelda Encyclopedia Deluxe Edition,data/covers/0000889.jpg
889,Christopher Hadnagy,Social Engineering,data/covers/0000890.jpg
890,Derek Yu,Spelunky,data/covers/0000891.jpg
891,Ramez Elmasri,"Fundamentals of Database Systems, Global Edition",data/covers/0000892.jpg
892,Stephen Wendel,Designing for Behavior Change,data/covers/0000893.jpg
893,Rachel Davies,Agile Coaching,data/covers/0000894.jpg
894,Scott Meyers,Effective STL,data/covers/0000895.jpg
895,Evgeny Morozov,The Net Delusion,data/covers/0000896.jpg
896,Edmond Lau,The Effective Engineer,data/covers/0000897.jpg
897,Shai Shalev-Shwartz,Understanding Machine Learning,data/covers/0000898.jpg
898,Clay Shirky,Here Comes Everybody,data/covers/0000899.jpg
899,Carl Benedikt Frey,The Technology Trap,data/covers/0000900.jpg
900,David Pogue,Mac OS X Snow Leopard: The Missing Manual,data/covers/0000901.jpg
901,Tiana Laurence,Blockchain For Dummies,data/covers/0000902.jpg
902,Patrick J. Carnes,In The Shadows Of The Net,data/covers/0000903.jpg
903,Jennifer Niederst Robbins,Learning Web Design 5e,data/covers/0000904.jpg
904,Joseph Gilland,"Elemental Magic, Volume I",data/covers/0000905.jpg
905,Kim Walsh-phillips,Ultimate Guide to Instagram for Business,data/covers/0000906.jpg
906,Steve S. Skiena,The Algorithm Design Manual,data/covers/0000907.jpg
907,Alex Moazed,Modern Monopolies,data/covers/0000908.jpg
908,The Open Group,TOGAF Version 9.1,data/covers/0000909.jpg
909,Jeanne Boyarsky,OCP: Oracle Certified Professional Java SE 8 Programmer II Study Guide,data/covers/0000910.jpg
910,Scott Chacon,Pro Git,data/covers/0000911.jpg
911,Tracy Fullerton,Game Design Workshop,data/covers/0000912.jpg
912,W. Richard Stevens,Advanced Programming in the UNIX Environment,data/covers/0000913.jpg
913,DK,DK Workbooks: Computer Coding,data/covers/0000914.jpg
914,Blizzard Entertainment,The Art of World of Warcraft,data/covers/0000915.jpg
915,Brendan Scott,Python For Kids For Dummies,data/covers/0000916.jpg
916,Mike Mattesi,FORCE: Dynamic Life Drawing,data/covers/0000917.jpg
917,Stephen Sexton,If All the World and Love Were Young,data/covers/0000918.jpg
918,Betsy Beyer,The Site Reliability Workbook,data/covers/0000919.jpg
919,Ray Kurzweil,The Singularity Is Near,data/covers/0000920.jpg
920,Peter Weverka,Office 2016 All-In-One For Dummies,data/covers/0000921.jpg
921,Adam Greenfield,Radical Technologies,data/covers/0000922.jpg
922,Jonathan Oxer,Practical Arduino,data/covers/0000923.jpg
923,Misha Glenny,DarkMarket,data/covers/0000924.jpg
924,Jeremy Kubica,Computational Fairy Tales,data/covers/0000925.jpg
925,Look at This Book,Internet Password Logbook,data/covers/0000926.jpg
926,Al Sweigart,"Invent Your Own Computer Games With Python, 4e",data/covers/0000927.jpg
927,Piggyback,Metal Gear Solid V: The Phantom Pain,data/covers/0000928.jpg
928,Kief Morris,Infrastructure as Code,data/covers/0000929.jpg
929,Brian Krebs,Spam Nation,data/covers/0000930.jpg
930,Emrah Yayici,Business Analysis Methodology Book,data/covers/0000931.jpg
931,Adam Vardy,Python Programming for Beginners,data/covers/0000932.jpg
932,Manul Laphroaig,Poc || Gtfo,data/covers/0000933.jpg
933,Luke Jones,Square Eyes,data/covers/0000934.jpg
934,Tristan Donovan,Replay: the History of Video Games,data/covers/0000935.jpg
935,Andrew Faulkner,Adobe Photoshop CC Classroom in a Book (2015 release),data/covers/0000936.jpg
936,Karen Paik,The Art of Incredibles 2,data/covers/0000937.jpg
937,AXELOS,ITIL Practitioner Guidance,data/covers/0000938.jpg
938,Julie Adair King,Nikon D3400 For Dummies,data/covers/0000939.jpg
939,Paul Gries,Practical Programming,data/covers/0000940.jpg
940,Mike Chapple,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,data/covers/0000941.jpg
941,Christopher James,The Book of Alternative Photographic Processes,data/covers/0000942.jpg
942,Jim Highsmith,Agile Project Management,data/covers/0000943.jpg
943,Pramodkumar J. Sadalage,NoSQL Distilled,data/covers/0000944.jpg
944,Mary Aiken,The Cyber Effect,data/covers/0000945.jpg
945,Stephen Boyd,Convex Optimization,data/covers/0000946.jpg
946,Chris Pine,Learn To Program,data/covers/0000947.jpg
947,Russ Olsen,Eloquent Ruby,data/covers/0000948.jpg
948,Mike Smart,Learn Excel 2007 Expert Skills with the Smart Method,data/covers/0000949.jpg
949,Anthony Williams,"C++ Concurrency in Action,2E",data/covers/0000950.jpg
950,Steve McConnell,Software Estimation,data/covers/0000951.jpg
951,Stuart McClure,Hacking Exposed 7,data/covers/0000952.jpg
952,Fritjof Capra,The Systems View of Life,data/covers/0000953.jpg
953,Peter Merholz,Org Design for Design Orgs,data/covers/0000954.jpg
954,Mike Smart,Learn Excel 2007 Essential Skills with the Smart Method,data/covers/0000955.jpg
955,Tom Ang,Digital Photography Step by Step,data/covers/0000956.jpg
956,Paul Davies,Tales from the Sea of Thieves,data/covers/0000957.jpg
957,Robert Faludi,Building Wireless Sensor Networks,data/covers/0000958.jpg
958,Eliane Kurbegov,Practice Makes Perfect: Intermediate French Grammar,data/covers/0000959.jpg
959,Douglas Rushkoff,Program or be Programmed,data/covers/0000960.jpg
960,Andy Rathbone,Windows 8.1 for Dummies Book+dvd Bundle,data/covers/0000961.jpg
961,James Paul Gee,What Video Games Have to Teach Us About Learning and Literacy,data/covers/0000962.jpg
962,Peter Dalgaard,Introductory Statistics with R,data/covers/0000963.jpg
963,James A. Whittaker,How Google Tests Software,data/covers/0000964.jpg
964,Richard A. Clarke,Cyber War,data/covers/0000965.jpg
965,Ann Dobson,"Touch Typing In Ten Hours, 3rd Edition",data/covers/0000966.jpg
966,David Pogue,Mac OS X Leopard: The Missing Manual,data/covers/0000967.jpg
967,Benjamin C. Pierce,Types and Programming Languages,data/covers/0000968.jpg
968,Adam Greenfield,Radical Technologies,data/covers/0000969.jpg
969,Craig Larman,Large-Scale Scrum,data/covers/0000970.jpg
970,Paul Wilmott,Machine Learning,data/covers/0000971.jpg
971,Ken Puls,M Is for (Data) Monkey,data/covers/0000972.jpg
972,Dylan Evans,Emotion: A Very Short Introduction,data/covers/0000973.jpg
973,Michael Harris,The End of Absence,data/covers/0000974.jpg
974,Ellen Broad,Made by Humans,data/covers/0000975.jpg
975,Instaread Summaries,Summary of Extreme Ownership,data/covers/0000976.jpg
976,Manuel Castells,The Rise of the Network Society,data/covers/0000977.jpg
977,Josh Lockhart,Modern PHP,data/covers/0000978.jpg
978,Stuart Ashen,Terrible Old Games You've Probably Never Heard Of,data/covers/0000979.jpg
979,Chris Bernhardt,Quantum Computing for Everyone,data/covers/0000980.jpg
980,Mark Cheverton,Destruction of the Overworld,data/covers/0000981.jpg
981,Bruce Schneier,Applied Cryptography,data/covers/0000982.jpg
982,Adam Gordon,Official (ISC)2 Guide to the CISSP CBK,data/covers/0000983.jpg
983,Mark Pilgrim,HTML5: Up and Running,data/covers/0000984.jpg
984,Kuldeep Singh,Engineering Mathematics Through Applications,data/covers/0000985.jpg
985,David W Tollen,The Tech Contracts Handbook,data/covers/0000986.jpg
986,Blythe Roberson,How to Date Men When You Hate Men,data/covers/0000987.jpg
